tree_id,year,tree_dbh,health,spc_latin,spc_common,root_stone,root_grate,root_other,trunk_wire,address,zipcode,boro_name,longitude,latitude,block_code,sidewalk
21639,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"18-005 DITMARS BOULEVARD, Astoria",11105,Queens,-73.9208697,40.78164158,TEST-11105,
3588,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"52 VICTORY BOULEVARD, Staten Island",10301,Staten Island,-74.07831906,40.63816078,TEST-10301,
9472,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1561 UNIONPORT ROAD, Bronx",10462,Bronx,-73.86123035,40.83906848,TEST-10462,Unknown
3071,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1980 UNIONPORT ROAD, Bronx",10462,Bronx,-73.86876163,40.85013368,TEST-10462,
7629,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"774 METCALF AVENUE, Bronx",10473,Bronx,-73.87042013,40.81951283,TEST-10473,Unknown
9265,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"22 METROPOLITAN OVAL, Bronx",10462,Bronx,-73.85877458,40.83774319,TEST-10462,Unknown
4025,2015,12.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1638 BRONXDALE AVENUE, Bronx",10462,Bronx,-73.85827203,40.84454875,TEST-10462,
5757,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2501 AMSTERDAM AVENUE, New York",10033,Manhattan,-73.92859563,40.84970836,TEST-10033,
2414,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"14 STEUBEN STREET, Brooklyn",11205,Brooklyn,-73.96309685,40.69746763,TEST-11205,
9483,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"140-004 QUINCE AVENUE, Flushing",11355,Queens,-73.81477196,40.74655797,TEST-11355,
5622,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1428 MORRIS AVENUE, Bronx",10457,Bronx,-73.91103539,40.83862536,TEST-10457,
5648,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"10 RICHMOND TERRACE, Staten Island",10301,Staten Island,-74.07531438,40.64244729,TEST-10301,
8807,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"47-007 164 STREET, Flushing",11358,Queens,-73.8029359,40.75018473,TEST-11358,Unknown
7901,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2340 AMSTERDAM AVENUE, New York",10033,Manhattan,-73.93304975,40.84497378,TEST-10033,
3959,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"15 HOMER STREET, Staten Island",10301,Staten Island,-74.07952712,40.63446054,TEST-10301,Unknown
11522,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"148-016 BOOTH MEMORIAL AVENUE, Flushing",11355,Queens,-73.81911411,40.74431578,TEST-11355,Unknown
6255,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"374 RICHMOND TERRACE, Staten Island",10301,Staten Island,-74.08568139,40.64847779,TEST-10301,Unknown
13342,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"439 MARION STREET, Brooklyn",11233,Brooklyn,-73.9113116,40.68178,TEST-11233,Unknown
1228,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2 LINCOLN ROAD, Brooklyn",11225,Brooklyn,-73.96256621,40.66048639,TEST-11225,
1746,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"46 SATURN LANE, Staten Island",10314,Staten Island,-74.1586822,40.5826915,TEST-10314,
7275,2015,2.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"120-038 QUEENS BOULEVARD, Kew Gardens",11415,Queens,-73.82908604,40.7135377,TEST-11415,
12255,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"3-014 128 STREET, College Point",11356,Queens,-73.83968512,40.79321473,TEST-11356,Unknown
4904,2015,13.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"941 GRANT AVENUE, Bronx",10456,Bronx,-73.91842356,40.82774706,TEST-10456,
14763,2015,5.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"7-031 POINT CRESCENT, Whitestone",11357,Queens,-73.83056587,40.78999178,TEST-11357,
8444,2015,3.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"35 WARD AVENUE, Staten Island",10304,Staten Island,-74.08142745,40.634486,TEST-10304,
12223,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"2320 BRONX PARK EAST, Bronx",10467,Bronx,-73.87079842,40.86063029,TEST-10467,Unknown
5624,2015,4.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"1434 MORRIS AVENUE, Bronx",10457,Bronx,-73.91097389,40.83873016,TEST-10457,
2248,2015,0.0,Dead,UNKNOWN,UNKNOWN,No,No,No,No,"33-036 108 STREET, Corona",11368,Queens,-73.86088221,40.75668829,TEST-11368,Unknown
